id,key,value,type
624854,crossing,traffic_signals,regular
624854,highway,traffic_signals,regular
8588632,highway,traffic_signals,regular
11978501,created_by,JOSM,regular
12041015,created_by,JOSM,regular
12041136,created_by,JOSM,regular
12041196,created_by,JOSM,regular
12224376,created_by,JOSM,regular
12233101,created_by,JOSM,regular
12233202,created_by,JOSM,regular
13767731,amenity,school,regular
13767731,created_by,JOSM,regular
13767731,name,International Grammar School,regular
13797867,created_by,JOSM,regular
13797892,created_by,JOSM,regular
13797917,created_by,JOSM,regular
13797942,created_by,JOSM,regular
13797967,created_by,JOSM,regular
13797992,created_by,JOSM,regular
13798017,created_by,JOSM,regular
13798042,created_by,JOSM,regular
13798067,created_by,JOSM,regular
13798334,created_by,JOSM,regular
13798362,created_by,JOSM,regular
13798389,created_by,JOSM,regular
13798416,created_by,JOSM,regular
13806607,source,PGS,regular
13808819,source,PGS,regular
13809615,created_by,almien_coastlines,regular
13809615,source,PGS,regular
13809877,created_by,almien_coastlines,regular
13809877,source,PGS,regular
13810941,created_by,almien_coastlines,regular
13810941,source,PGS,regular
13811159,created_by,almien_coastlines,regular
13811159,source,PGS,regular
13811688,source,PGS,regular
13811872,source,PGS,regular
13812005,created_by,almien_coastlines,regular
13812005,source,PGS,regular
13812136,source,PGS,regular
13812273,source,PGS,regular
13812428,source,PGS,regular
13813043,created_by,almien_coastlines,regular
13813043,source,PGS,regular
13813318,source,PGS,regular
13813709,source,PGS,regular
13813924,source,PGS,regular
13814298,source,PGS,regular
13814416,source,PGS,regular
13814556,source,PGS,regular
13814689,created_by,almien_coastlines,regular
13814689,source,PGS,regular
13815099,created_by,almien_coastlines,regular
13815099,source,PGS,regular
13815322,source,PGS,regular
13815554,created_by,almien_coastlines,regular
13815554,source,PGS,regular
13815661,source,PGS,regular
13815758,source,PGS,regular
13815868,source,PGS,regular
13816003,source,PGS,regular
13816107,source,PGS,regular
13816347,source,PGS,regular
13816710,created_by,almien_coastlines,regular
13816710,source,PGS,regular
13817281,source,nearmap,regular
13817963,source,PGS,regular
13818073,created_by,almien_coastlines,regular
13818073,source,PGS,regular
13818322,source,PGS,regular
13818473,source,PGS,regular
13818746,source,PGS,regular
13818880,source,PGS,regular
13819505,source,PGS,regular
13819874,source,PGS,regular
13819967,source,PGS,regular
13886657,created_by,JOSM,regular
13887162,created_by,JOSM,regular
13887197,created_by,JOSM,regular
14277831,created_by,JOSM,regular
14296362,created_by,JOSM,regular
14697022,created_by,JOSM,regular
14755712,created_by,JOSM,regular
14755976,created_by,JOSM,regular
14756008,created_by,JOSM,regular
14756042,created_by,JOSM,regular
14756076,created_by,JOSM,regular
